MU #;Sil (%);PNR (dB);DR (Hz);CoV_isi (%);Mean_isi (ms);StD_isi (ms);Skewness_isi;Kurtosis_isi;Nº spikes
1;99.3311058213158;24.78518117877321;53.89473684210526;52.102604929535076;18.5546875;9.66747552403483;0.0;-2.0;3
2;99.25365357043356;22.385832518893448;90.35294117647058;6.739081904346822;11.067708333333334;0.745861929517552;-0.38180177416060923;-1.499999999999998;4
3;98.84055249855172;20.19598894696054;84.16438356164385;16.60870637394814;11.881510416666666;1.9733651778942287;-0.29479962014482763;-1.5000000000000009;4
4;96.51237808714947;23.2709639430782;4.315183946488294;103.81116422047371;231.73983134920633;240.57181688617342;2.9188994614448056;8.695270209945011;64
5;94.86479374250808;21.64865967021276;4.358606012237297;111.50333801370083;229.43115234375;255.82339330658044;2.9938744822057397;9.48498121062546;65
6;90.44439430591315;17.869590427663695;6.620398469455074;72.1683981932395;151.04830994897958;109.00914578813818;1.6158313063625296;1.9929228577879154;99
7;90.53225781406101;18.05443535677736;6.9080749574105615;51.77266192594563;144.75812815656568;74.94513630082585;1.6305936687133809;3.509902829749353;100
8;91.88829301367667;18.629811500749035;7.101101994575852;61.39903598634716;140.82321318069307;86.46409533794412;1.6412536299843772;2.003353447410772;102
9;92.21266991616194;18.583527397876466;7.261675615439166;43.964357083643236;137.70926339285714;60.5429922952905;2.0634424408755003;4.5212409587035545;106
10;93.26788816005399;19.714494278932385;8.012732095490716;44.21785091259579;124.80137711864407;55.18448687118848;2.436827795748343;7.16687275272937;119
11;92.13207271031439;18.9307210239482;10.567451965510218;40.282690883389144;94.63019120065789;38.119587403721134;1.4019622255321185;1.318090751938552;153
12;92.82319064118309;18.70297650455337;10.762455930286702;39.26675924980377;92.91559533227849;36.4849431246477;2.834542773442142;10.227556219820762;159
13;93.53128091613966;19.095898716052343;10.929364579535285;31.168807974476742;91.49662752329192;28.51840813585709;2.1398019795982353;6.7973062789197485;162
14;91.24699754329446;18.502614500861355;12.111864746566875;59.29467790050218;82.5636696680791;48.95586199252212;2.8944734858465684;12.252800518935775;178
