MU #;Sil (%);PNR (dB);DR (Hz);CoV_isi (%);Mean_isi (ms);StD_isi (ms);Skewness_isi;Kurtosis_isi;Nº spikes
1;97.65305077508462;18.172958234232006;96.0;7.1602745233685;10.416666666666666;0.745861929517552;0.38180177416060923;-1.499999999999998;4
2;99.13581204811452;20.37873571690076;72.11267605633803;20.011651039975806;13.8671875;2.775053171559145;-0.14215170553413659;-1.472615476042136;6
3;97.25680517882714;17.473229193555625;75.85185185185185;35.62108159568767;13.18359375;4.69613868693148;1.413822633370775;0.1305332359386413;6
4;92.46436218514542;22.306023183874025;2.5137470542026707;138.1768546217228;397.8125;549.684799792041;2.370927203675129;4.672027900461939;26
5;95.58574677410509;23.164279644473638;2.2875865663861794;386.8054655950658;437.1419270833333;1690.8888663659304;5.090590934845819;24.25969579149347;31
6;90.50520422036143;17.85835975148535;3.704838031131678;109.58192652948125;269.91733284883725;295.7806133727481;1.3530571129371745;0.8566289140036045;44
7;97.10439868525313;25.16342274713557;5.1649122807017545;306.11495147685514;193.61413043478262;592.6818014327698;5.909022242966694;37.52085998203957;70
8;95.39294082583278;22.662672175353382;6.96038590849291;214.9919984576855;143.67019489247312;308.87942318737953;4.812898138933776;26.98540331809851;94
9;92.17692751118042;20.4499613224447;9.273736488460415;165.74782059060115;107.83140120967742;178.72819741734747;3.549111279485641;12.082896390441078;125
10;90.02443188478398;20.015406183693734;15.609427136384392;59.304234757091166;64.06385008640552;37.992576049672884;2.441470621908981;8.846688883552009;218
11;91.0385088187302;19.800341372726056;15.75819474156373;59.36061519852066;63.4590456838565;37.66967991704749;2.0817509600692365;6.209592997859215;224
